CTLabel,BoroCode,BoroName,CT2000,BoroCT2000,CDEligibil,NTACode,NTANAme,PUMA,Shape_Leng,Shape_Area,fullCT,vouchers2000,vouchers2004,vouchers2005,vouchers2006,vouchers2007,vouchers2008,vouchers2009,vouchers2010,vouchers2011
32,1,Manhattan,003200,1003200,E,MN22,East Village,3809,6358.386615,2334190.14301,36061003200,6,9,5,14,21,30,47,81,59
68,1,Manhattan,006800,1006800,I,MN21,Gramercy,3808,5723.882787,1877943.13247,36061006800,97,259,372,247,207,237,256,263,263
89,1,Manhattan,008900,1008900,I,MN13,Hudson Yards-Chelsea-Flatiron-Union Square,3807,5578.769498,1782278.33275,36061008900,0,1,1,1,1,2,2,2,2
96,1,Manhattan,009600,1009600,I,MN17,Midtown-Midtown South,3807,5737.356246,1887288.44753,36061009600,2,0,0,0,0,0,-1,-1,-1
98,1,Manhattan,009800,1009800,I,MN19,Turtle Bay-East Midtown,3808,5534.20006,1906016.374,36061009800,1,1,1,1,2,8,5,2,1
100,1,Manhattan,010000,1010000,I,MN19,Turtle Bay-East Midtown,3808,5692.168417,1860938.33723,36061010000,0,0,0,0,3,2,2,1,-1
22.02,1,Manhattan,002202,1002202,E,MN28,Lower East Side,3809,3817.3914,603922.239375,36061002202,12,11,9,11,16,18,22,26,27
190,1,Manhattan,019000,1019000,E,MN11,Central Harlem South,3803,4231.82666,1117371.68391,36061019000,41,45,40,43,44,46,43,43,38
201.01,1,Manhattan,020101,1020101,I,MN09,Morningside Heights,3802,3329.881695,593526.657572,36061020101,0,0,0,0,0,0,-1,-1,-1
201.02,1,Manhattan,020102,1020102,E,MN11,Central Harlem South,3803,3745.871008,897067.944076,36061020102,37,29,48,51,52,56,58,58,55
205,1,Manhattan,020500,1020500,I,MN09,Morningside Heights,3802,5562.173425,1335915.43785,36061020500,0,0,2,1,0,0,1,1,1
206,1,Manhattan,020600,1020600,E,MN03,Central Harlem North-Polo Grounds,3803,5176.873151,1602693.82096,36061020600,25,33,29,38,36,37,52,61,71
207.02,1,Manhattan,020702,1020702,E,MN11,Central Harlem South,3803,3893.198827,942328.191212,36061020702,13,15,26,37,43,42,41,39,41
209.02,1,Manhattan,020902,1020902,E,MN11,Central Harlem South,3803,3965.223582,608261.971461,36061020902,29,31,31,33,33,33,32,30,27
217.02,1,Manhattan,021702,1021702,E,MN03,Central Harlem North-Polo Grounds,3803,3338.290816,446993.855918,36061021702,67,71,67,83,186,211,192,197,191
218,1,Manhattan,021800,1021800,E,MN11,Central Harlem South,3803,5775.546388,1958240.25376,36061021800,129,119,118,115,107,111,117,112,94
220,1,Manhattan,022000,1022000,E,MN11,Central Harlem South,3803,5691.513963,1882933.02824,36061022000,135,112,125,135,140,117,137,134,120
229,1,Manhattan,022900,1022900,E,MN04,Hamilton Heights,3802,5014.76241,1511482.81521,36061022900,142,131,136,141,136,131,155,176,183
231.02,1,Manhattan,023102,1023102,E,MN03,Central Harlem North-Polo Grounds,3803,3267.740597,413467.551316,36061023102,27,41,44,43,47,51,53,48,48
234,1,Manhattan,023400,1023400,E,MN03,Central Harlem North-Polo Grounds,3803,5656.092063,1164817.07469,36061023400,72,75,84,77,81,92,114,100,103
239,1,Manhattan,023900,1023900,E,MN36,Washington Heights South,3801,3635.962256,687269.074676,36061023900,80,88,104,99,101,108,107,111,107
249,1,Manhattan,024900,1024900,E,MN36,Washington Heights South,3801,3927.821665,652856.354679,36061024900,16,16,30,36,37,34,36,33,33
253,1,Manhattan,025300,1025300,E,MN36,Washington Heights South,3801,5651.317594,1822960.35629,36061025300,223,236,272,283,277,305,344,345,336
261,1,Manhattan,026100,1026100,E,MN36,Washington Heights South,3801,5532.10036,1681539.23948,36061026100,262,305,322,326,332,356,415,409,395
263,1,Manhattan,026300,1026300,E,MN36,Washington Heights South,3801,5730.541699,1691892.03356,36061026300,256,289,285,293,296,315,361,367,353
267,1,Manhattan,026700,1026700,E,MN35,Washington Heights North,3801,3869.4473,518771.629345,36061026700,30,26,21,22,19,18,17,17,22
269,1,Manhattan,026900,1026900,E,MN35,Washington Heights North,3801,6017.036771,1889655.58786,36061026900,184,197,221,231,236,252,310,306,287
277,1,Manhattan,027700,1027700,E,MN35,Washington Heights North,3801,5903.152888,1760155.91746,36061027700,128,171,177,200,197,220,240,251,234
102,1,Manhattan,010200,1010200,I,MN17,Midtown-Midtown South,3807,5687.802334,1860992.66528,36061010200,0,0,0,0,1,4,3,5,-1
104,1,Manhattan,010400,1010400,I,MN17,Midtown-Midtown South,3807,5693.036118,1864600.35089,36061010400,0,0,0,0,0,0,-1,-1,-1
106.01,1,Manhattan,010601,1010601,I,MN19,Turtle Bay-East Midtown,3808,4538.708028,1280936.48109,36061010601,1,0,0,0,0,0,-1,1,-1
112.01,1,Manhattan,011201,1011201,I,MN17,Midtown-Midtown South,3807,3716.146785,856164.331964,36061011201,0,0,0,0,0,0,-1,-1,-1
112.02,1,Manhattan,011202,1011202,I,MN17,Midtown-Midtown South,3807,3688.7624,839525.780795,36061011202,0,0,0,0,2,5,1,-1,-1
112.03,1,Manhattan,011203,1011203,I,MN19,Turtle Bay-East Midtown,3808,3701.173281,854082.504922,36061011203,0,0,0,0,2,1,1,1,-1
113,1,Manhattan,011300,1011300,I,MN17,Midtown-Midtown South,3807,5699.860711,1890907.32906,36061011300,0,0,0,0,0,0,-1,2,2
114.02,1,Manhattan,011402,1011402,I,MN40,Upper East Side-Carnegie Hill,3805,4125.256279,1063547.44169,36061011402,0,0,0,0,0,3,3,1,1
130,1,Manhattan,013000,1013000,I,MN40,Upper East Side-Carnegie Hill,3805,5807.972954,1918144.62905,36061013000,6,5,5,3,2,2,1,1,1
140,1,Manhattan,014000,1014000,I,MN40,Upper East Side-Carnegie Hill,3805,5820.81564,1925984.36815,36061014000,2,0,1,1,0,1,-1,1,1
146.01,1,Manhattan,014601,1014601,I,MN32,Yorkville,3805,4016.133144,799879.850145,36061014601,0,0,0,0,0,0,-1,6,-1
146.02,1,Manhattan,014602,1014602,I,MN32,Yorkville,3805,4528.69534,1175338.57796,36061014602,0,1,0,1,2,0,21,27,27
148.01,1,Manhattan,014801,1014801,I,MN40,Upper East Side-Carnegie Hill,3805,3135.951495,559216.082517,36061014801,0,0,0,0,0,0,-1,-1,-1
148.02,1,Manhattan,014802,1014802,I,MN40,Upper East Side-Carnegie Hill,3805,4691.029337,1351365.00658,36061014802,0,0,0,0,3,1,2,2,-1
153,1,Manhattan,015300,1015300,I,MN14,Lincoln Square,3806,5674.292345,1872392.71238,36061015300,0,0,0,0,19,28,27,24,25
154,1,Manhattan,015400,1015400,I,MN32,Yorkville,3805,5536.957754,1909222.33074,36061015400,17,9,9,11,19,20,411,398,375
156.01,1,Manhattan,015601,1015601,I,MN32,Yorkville,3805,4004.824471,791912.423107,36061015601,28,25,32,35,45,40,39,37,33
156.02,1,Manhattan,015602,1015602,E,MN33,East Harlem South,3804,4524.706684,1169934.51743,36061015602,1,0,0,2,7,9,13,8,13
160.01,1,Manhattan,016001,1016001,I,MN40,Upper East Side-Carnegie Hill,3805,4698.506847,1351864.69545,36061016001,1,1,1,1,7,6,6,4,-1
167,1,Manhattan,016700,1016700,I,MN12,Upper West Side,3806,5000.03335,1472849.19786,36061016700,1,1,0,0,0,0,-1,-1,-1
172.01,1,Manhattan,017201,1017201,E,MN33,East Harlem South,3804,4718.499799,1372488.69471,36061017201,14,24,36,37,36,37,46,32,32
179,1,Manhattan,017900,1017900,I,MN12,Upper West Side,3806,5130.118495,1487945.23431,36061017900,84,88,102,171,157,194,180,184,192
184,1,Manhattan,018400,1018400,E,MN34,East Harlem North,3804,5771.874346,1903568.41537,36061018400,30,30,27,56,56,63,68,68,75
27.01,2,Bronx,002701,2002701,E,BX39,Mott Haven-Port Morris,3710,4113.173953,877836.648687,36005002701,36,49,40,53,45,49,47,52,49
27.02,2,Bronx,002702,2002702,E,BX39,Mott Haven-Port Morris,3710,6090.6145,1674949.7455,36005002702,78,101,105,129,244,440,576,490,483
33,2,Bronx,003300,2003300,E,BX39,Mott Haven-Port Morris,3710,5957.067543,1639977.95273,36005003300,24,75,85,108,229,336,395,406,388
35,2,Bronx,003500,2003500,E,BX39,Mott Haven-Port Morris,3710,5804.923281,1525330.72083,36005003500,133,135,109,112,111,115,130,128,129
37,2,Bronx,003700,2003700,E,BX39,Mott Haven-Port Morris,3710,5545.813914,1787327.10484,36005003700,56,19,18,19,21,21,26,24,24
38,2,Bronx,003800,2003800,I,BX09,Soundview-Castle Hill-Clason Point-Harding Park,3709,3473.805854,682166.213878,36005003800,23,28,24,27,27,34,32,34,33
40.01,2,Bronx,004001,2004001,E,BX55,Soundview-Bruckner,3709,4916.715631,1325276.23624,36005004001,34,29,24,29,30,37,44,40,40
48,2,Bronx,004800,2004800,E,BX55,Soundview-Bruckner,3709,5406.981943,1568167.49896,36005004800,134,132,127,139,143,160,171,166,157
59.01,2,Bronx,005901,2005901,E,BX63,West Concourse,3708,6713.086922,2318024.92672,36005005901,238,290,289,316,298,296,307,295,282
