CTLabel,BoroCode,BoroName,CT2010,BoroCT2010,CDEligibil,NTACode,NTAName,PUMA,Shape_Leng,Shape_Area,fullCT,vouchers2012,vouchers2013,vouchers2014,vouchers2015
9,5,Staten Island,000900,5000900,I,SI22,West New Brighton-New Brighton-St. George,3903,7729.016729,2497009.69934,36085000900,39,31,32,31
125,5,Staten Island,012500,5012500,I,SI22,West New Brighton-New Brighton-St. George,3903,10582.85553,4954936.23796,36085012500,19,17,20,18
133.01,5,Staten Island,013301,5013301,E,SI22,West New Brighton-New Brighton-St. George,3903,3428.312676,721784.662189,36085013301,1,1,1,1
197,5,Staten Island,019700,5019700,I,SI07,Westerleigh,3903,9097.697231,3231720.01238,36085019700,-1,-1,,
64,5,Staten Island,006400,5006400,I,SI14,Grasmere-Arrochar-Ft. Wadsworth,3902,12726.360449,7643183.68232,36085006400,5,4,2,2
74,5,Staten Island,007400,5007400,I,SI14,Grasmere-Arrochar-Ft. Wadsworth,3902,9902.948471,5788237.87106,36085007400,30,19,20,17
22.02,1,Manhattan,002202,1002202,I,MN28,Lower East Side,3809,3817.391631,603922.275649,36061002202,24,23,20,18
32,1,Manhattan,003200,1003200,I,MN22,East Village,3809,6358.386684,2334190.23228,36061003200,50,36,35,35
68,1,Manhattan,006800,1006800,I,MN21,Gramercy,3808,5723.883037,1877943.25272,36061006800,265,280,259,271
89,1,Manhattan,008900,1008900,I,MN13,Hudson Yards-Chelsea-Flatiron-Union Square,3807,5578.769499,1782278.50665,36061008900,1,1,1,1
96,1,Manhattan,009600,1009600,E,MN17,Midtown-Midtown South,3807,5737.356247,1887288.40108,36061009600,-1,-1,,
98,1,Manhattan,009800,1009800,I,MN19,Turtle Bay-East Midtown,3808,5534.199811,1906016.35002,36061009800,1,3,1,1
100,1,Manhattan,010000,1010000,I,MN19,Turtle Bay-East Midtown,3808,5692.168488,1860938.37794,36061010000,-1,-1,,
102,1,Manhattan,010200,1010200,I,MN17,Midtown-Midtown South,3807,5687.802579,1860992.5363,36061010200,-1,2,,
104,1,Manhattan,010400,1010400,I,MN17,Midtown-Midtown South,3807,5693.036118,1864600.35091,36061010400,-1,-1,,
112.01,1,Manhattan,011201,1011201,I,MN17,Midtown-Midtown South,3807,3716.146785,856164.356123,36061011201,1,-1,,1
112.02,1,Manhattan,011202,1011202,I,MN17,Midtown-Midtown South,3807,3688.762328,839525.781464,36061011202,-1,1,,
112.03,1,Manhattan,011203,1011203,I,MN19,Turtle Bay-East Midtown,3808,3701.173031,854082.515426,36061011203,-1,-1,,
113,1,Manhattan,011300,1011300,I,MN17,Midtown-Midtown South,3807,5699.860641,1890907.33104,36061011300,2,4,1,4
114.02,1,Manhattan,011402,1011402,I,MN40,Upper East Side-Carnegie Hill,3805,4125.2561,1063547.40503,36061011402,1,2,1,
130,1,Manhattan,013000,1013000,I,MN40,Upper East Side-Carnegie Hill,3805,5807.972956,1918144.54035,36061013000,1,2,1,1
140,1,Manhattan,014000,1014000,I,MN40,Upper East Side-Carnegie Hill,3805,5820.81564,1925984.22252,36061014000,1,-1,,
146.01,1,Manhattan,014601,1014601,I,MN32,Yorkville,3805,4016.133393,799879.908512,36061014601,-1,-1,,
146.02,1,Manhattan,014602,1014602,I,MN32,Yorkville,3805,4528.695483,1175338.61171,36061014602,25,18,23,22
148.01,1,Manhattan,014801,1014801,I,MN40,Upper East Side-Carnegie Hill,3805,3135.951423,559216.157816,36061014801,-1,-1,,
148.02,1,Manhattan,014802,1014802,I,MN40,Upper East Side-Carnegie Hill,3805,4691.029341,1351364.99046,36061014802,-1,-1,,
153,1,Manhattan,015300,1015300,I,MN14,Lincoln Square,3806,5674.292342,1872392.7053,36061015300,25,23,23,
154,1,Manhattan,015400,1015400,I,MN32,Yorkville,3805,5536.958004,1909222.23423,36061015400,359,343,323,311
156.01,1,Manhattan,015601,1015601,I,MN32,Yorkville,3805,4004.82447,791912.508405,36061015601,28,42,39,36
156.02,1,Manhattan,015602,1015602,E,MN33,East Harlem South,3804,4524.706934,1169934.51084,36061015602,11,13,23,12
160.01,1,Manhattan,016001,1016001,I,MN40,Upper East Side-Carnegie Hill,3805,4698.507096,1351864.83532,36061016001,-1,1,2,2
184,1,Manhattan,018400,1018400,E,MN34,East Harlem North,3804,5771.874347,1903568.32101,36061018400,80,86,88,96
190,1,Manhattan,019000,1019000,I,MN11,Central Harlem South,3803,4231.827159,1117371.72802,36061019000,40,38,114,113
201.01,1,Manhattan,020101,1020101,I,MN09,Morningside Heights,3802,3329.881695,593526.657572,36061020101,-1,-1,,
201.02,1,Manhattan,020102,1020102,E,MN11,Central Harlem South,3803,3745.871035,897067.882726,36061020102,53,52,52,50
206,1,Manhattan,020600,1020600,E,MN03,Central Harlem North-Polo Grounds,3803,5176.873151,1602693.80227,36061020600,82,89,86,77
218,1,Manhattan,021800,1021800,E,MN11,Central Harlem South,3803,5775.546074,1958240.31165,36061021800,126,152,142,125
220,1,Manhattan,022000,1022000,E,MN11,Central Harlem South,3803,5691.514036,1882932.86038,36061022000,107,94,92,95
229,1,Manhattan,022900,1022900,E,MN04,Hamilton Heights,3802,7284.207936,2186714.27415,36061022900,195,554,915,875
234,1,Manhattan,023400,1023400,E,MN03,Central Harlem North-Polo Grounds,3803,5656.092134,1164816.98101,36061023400,101,114,83,108
239,1,Manhattan,023900,1023900,E,MN36,Washington Heights South,3801,3635.962134,687269.036218,36061023900,97,97,88,87
249,1,Manhattan,024900,1024900,E,MN36,Washington Heights South,3801,3927.821475,652856.308287,36061024900,31,29,25,30
253,1,Manhattan,025300,1025300,E,MN36,Washington Heights South,3801,5651.317584,1822960.36207,36061025300,337,324,317,308
257,1,Manhattan,025700,1025700,E,MN11,Central Harlem South,3803,6060.119375,1550590.16396,36061025700,69,68,68,73
261,1,Manhattan,026100,1026100,E,MN36,Washington Heights South,3801,5532.1001,1681539.12174,36061026100,403,385,377,373
263,1,Manhattan,026300,1026300,E,MN36,Washington Heights South,3801,5730.541687,1691892.07635,36061026300,372,349,335,326
267,1,Manhattan,026700,1026700,E,MN35,Washington Heights North,3801,3869.447222,518771.594333,36061026700,22,3,19,17
269,1,Manhattan,026900,1026900,E,MN35,Washington Heights North,3801,6017.036711,1889655.6225,36061026900,299,297,289,282
277,1,Manhattan,027700,1027700,E,MN35,Washington Heights North,3801,5903.152134,1760155.94209,36061027700,239,241,257,254
5.01,3,Brooklyn,000501,3000501,I,BK09,Brooklyn Heights-Cobble Hill,4004,4828.170042,901506.992481,36047000501,-1,1,,
20,3,Brooklyn,002000,3002000,E,BK32,Sunset Park West,4012,5426.067279,1620770.16274,36047002000,13,12,14,16
41,3,Brooklyn,004100,3004100,I,BK38,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,4004,5283.85666,1744094.3952,36047004100,2,2,2,2
52.01,3,Brooklyn,005201,3005201,E,BK31,Bay Ridge,4013,5520.047898,1448244.16819,36047005201,-1,-1,,
52.02,3,Brooklyn,005202,3005202,I,BK31,Bay Ridge,4013,5190.713908,1398134.48416,36047005202,-1,-1,,
58,3,Brooklyn,005800,3005800,E,BK31,Bay Ridge,4013,6098.167799,2080303.3141,36047005800,29,29,28,26
60,3,Brooklyn,006000,3006000,I,BK31,Bay Ridge,4013,5498.334387,1639073.92632,36047006000,4,4,5,5
65,3,Brooklyn,006500,3006500,I,BK33,Carroll Gardens-Columbia Street-Red Hook,4005,7861.136622,2685633.61509,36047006500,2,2,2,2
67,3,Brooklyn,006700,3006700,I,BK33,Carroll Gardens-Columbia Street-Red Hook,4005,5236.047804,1680804.29592,36047006700,-1,-1,,
69,3,Brooklyn,006900,3006900,I,BK38,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,4004,5563.971321,1927677.55339,36047006900,4,4,4,4
74,3,Brooklyn,007400,3007400,E,BK32,Sunset Park West,4012,4994.563886,1516613.03139,36047007400,31,27,24,24
76,3,Brooklyn,007600,3007600,E,BK32,Sunset Park West,4012,4980.047514,1510401.67828,36047007600,17,18,18,18
78,3,Brooklyn,007800,3007800,E,BK32,Sunset Park West,4012,4986.671595,1509791.98953,36047007800,74,68,65,62
80,3,Brooklyn,008000,3008000,E,BK32,Sunset Park West,4012,4989.723103,1506326.48527,36047008000,36,36,35,33
98,3,Brooklyn,009800,3009800,E,BK34,Sunset Park East,4012,5203.979585,1625498.65245,36047009800,77,73,72,67
101,3,Brooklyn,010100,3010100,E,BK32,Sunset Park West,4012,7585.52914,3393635.74682,36047010100,17,16,14,12
102,3,Brooklyn,010200,3010200,E,BK34,Sunset Park East,4012,5223.378481,1640687.83875,36047010200,27,25,22,23
104,3,Brooklyn,010400,3010400,E,BK34,Sunset Park East,4012,5221.791692,1639390.92125,36047010400,15,13,13,13
108,3,Brooklyn,010800,3010800,E,BK34,Sunset Park East,4012,5203.5166,1624849.98804,36047010800,20,18,18,17
110,3,Brooklyn,011000,3011000,E,BK34,Sunset Park East,4012,5365.03648,1699091.86361,36047011000,15,16,14,13
114,3,Brooklyn,011400,3011400,E,BK88,Borough Park,4014,5462.281937,1806159.31396,36047011400,100,88,91,89
121,3,Brooklyn,012100,3012100,I,BK37,Park Slope-Gowanus,4005,5142.255433,1593259.40713,36047012100,2,1,1,1
128.01,3,Brooklyn,012801,3012801,I,BK30,Dyker Heights,4013,4828.983916,1238338.68743,36047012801,11,11,10,8
130,3,Brooklyn,013000,3013000,E,BK31,Bay Ridge,4013,5648.236506,1899181.55643,36047013000,16,15,15,15
132,3,Brooklyn,013200,3013200,E,BK30,Dyker Heights,4013,6369.334993,1665114.51858,36047013200,19,19,21,21
133,3,Brooklyn,013300,3013300,I,BK37,Park Slope-Gowanus,4005,5175.703509,1596011.27323,36047013300,15,15,14,13
136,3,Brooklyn,013600,3013600,I,BK31,Bay Ridge,4013,8233.665277,2322222.35656,36047013600,7,6,6,5
137,3,Brooklyn,013700,3013700,I,BK37,Park Slope-Gowanus,4005,5226.631819,1638366.13973,36047013700,4,4,4,1
139,3,Brooklyn,013900,3013900,E,BK37,Park Slope-Gowanus,4005,5219.680479,1631336.53274,36047013900,8,7,8,5
151,3,Brooklyn,015100,3015100,I,BK37,Park Slope-Gowanus,4005,5175.221646,1607114.12638,36047015100,3,3,3,2
153,3,Brooklyn,015300,3015300,I,BK37,Park Slope-Gowanus,4005,5188.381441,1619490.31828,36047015300,-1,-1,,
155,3,Brooklyn,015500,3015500,I,BK37,Park Slope-Gowanus,4005,5181.351516,1610814.53019,36047015500,-1,-1,,
157,3,Brooklyn,015700,3015700,I,BK37,Park Slope-Gowanus,4005,5427.704575,1802056.04722,36047015700,2,2,1,1
165,3,Brooklyn,016500,3016500,I,BK37,Park Slope-Gowanus,4005,6727.004994,2006987.78207,36047016500,1,1,1,1
