tract,year,nycha,hud,totPopulation,totPopUnder5,totPerPopUnder5,totWhite,totPerWhite,totBlack,totPerBlack,totAsian,totPerAsian,totHispanic,totPerHispanic,totHouseholds,totFamilies,totPoverty,totPerPoverty,totFamiliesPoverty,totPerFamiliesPoverty,totYiddish,totPerYiddish,totNotWhite,totPerNotWhite,totBlackHispanic,totPopOver5,totPerBlackHispanic,sec8Households,sec8Population,sec8PerHHNotWhite,sec8PerHHBlack,sec8PerHHAsian,sec8PerHHHispanic,sec8PerHHWhite,sec8PerPop,sec8PerHH,sec8PerVouchers,boro,neighborhood
36005000100,2000,N,N,12780,0,0,1584,0.124,7897,0.618,65,0.005,3443,0.26899999999999996,0,0,0,0,0,0,0,0,11196,0.876,11340,12780,0.8873239436619719,0,1,0.01,0.01,0.01,0.01,0.99,0.00007824726134585289,NaN,0,Bronx,Rikers Island
36005000200,2000,N,N,3545,280.055,0.079,1136,0.32,908,0.256,19,0.005,2464,0.695,1128,860,723,0.203,180,0.2,0,0,2409,0.6799999999999999,3372,3264.945,0.9511988716502116,45,200,1,0.36,0,0.64,0,0.056417489421720736,0.0398936170212766,0.0005793742757821553,Bronx,Soundview-Castle Hill-Clason Point-Harding Park
36005000400,2000,N,N,3314,245.23600000000005,0.07400000000000001,1195,0.361,927,0.28,88,0.027000000000000003,2255,0.68,1051,818,417,0.129,95,0.11900000000000001,0,0,2119,0.639,3182,3068.764,0.96016898008449,21,100,0.95,0.24,0,0.71,0.050000000000000044,0.030175015087507542,0.019980970504281638,0.00027037466203167247,Bronx,Soundview-Castle Hill-Clason Point-Harding Park
36005000500,2000,N,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.01,0.01,0.01,0.01,0.99,Infinity,NaN,0,Bronx,park-cemetery-etc-Bronx
36005001100,2000,N,N,559,31.863,0.057,194,0.34700000000000003,198,0.354,12,0.021,307,0.5489999999999999,150,89,215,0.374,11,0.122,0,0,365,0.653,505,527.137,0.9033989266547406,15,0,1,0.4,0,0.6,0,0,0.1,0.00019312475859405175,Bronx,Mott Haven-Port Morris
36005001500,2000,N,N,19,1.007,0.053,7,0.368,2,0.105,0,0,17,0.895,9,6,0,0,0,0,0,0,12,0.632,19,17.993,1,4,1,0.01,0.01,0.01,0.01,0.99,0.05263157894736842,0.4444444444444444,0.000051499935625080466,Bronx,Mott Haven-Port Morris
36005001600,2000,N,N,5237,387.53800000000007,0.07400000000000001,1806,0.345,1797,0.34299999999999997,46,0.009000000000000001,3250,0.621,1810,1299,1112,0.222,255,0.191,8,0.002,3431,0.655,5047,4849.4619999999995,0.9637196868436128,117,200,0.99,0.19,0.01,0.79,0.010000000000000009,0.038189803322512886,0.06464088397790055,0.0015063731170336038,Bronx,Soundview-Castle Hill-Clason Point-Harding Park
36005001700,2000,N,N,1006,156.936,0.156,211,0.21,323,0.321,2,0.002,663,0.659,258,144,341,0.436,53,0.342,0,0,795,0.79,986,849.064,0.9801192842942346,2,1,0.01,0.01,0.01,0.01,0.99,0.0009940357852882703,0.007751937984496124,0.000025749967812540233,Bronx,Mott Haven-Port Morris
36005002000,2000,N,N,9068,770.7800000000001,0.085,1689,0.18600000000000003,4449,0.491,57,0.006,4940,0.545,3058,2269,4118,0.45899999999999996,996,0.428,0,0,7379,0.814,9389,8297.22,1.0353992059991177,51,200,0.94,0.31,0,0.63,0.06000000000000005,0.022055580061755623,0.016677567037279267,0.0006566241792197759,Bronx,Soundview-Castle Hill-Clason Point-Harding Park
36005002300,2000,N,N,4338,329.688,0.076,920,0.212,1788,0.41200000000000003,13,0.003,2712,0.625,1668,995,1721,0.4,338,0.354,0,0,3418,0.788,4500,4008.312,1.037344398340249,0,1,0.01,0.01,0.01,0.01,0.99,0.0002305209774089442,0,0,Bronx,Mott Haven-Port Morris
36005002400,2000,N,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.01,0.01,0.01,0.01,0.99,Infinity,NaN,0,Bronx,park-cemetery-etc-Bronx
