tract,year,nycha,hud,totPopulation,totPerPopUnder5,totPopPoverty,totPerPoverty,totHouseholds,totFamilies,totWhite,totBlack,totAsian,totHispanic,totYiddish,totNotWhite,totPerNotWhite,totBlackHispanic,totPopUnder5,totPopOver5,totPoverty,totPerHispanic,totPerWhite,totPerAsian,totPerBlack,totPerYiddish,totPerBlackHispanic,hhNYCHA,sec8Households,popNYCHA,sec8Population,sec8PerHHNotWhite,sec8PerHHBlack,sec8PerHHAsian,sec8PerHHHispanic,sec8PerHHWhite,sec8TotHHWhite,sec8TotHHNotWhite,sec8TotHHBlack,sec8TotHHAsian,sec8TotHHHispanic,sec8PerPop,sec8PerHH,sec8PerVouchers,boro,neighborhood,sec8HouseholdsNYCHA,sec8PopulationNYCHA,sec8AvgIncomeNYCHA
36005000100,2009,N,Y,11355,0,0,0,0,,847,6262,204,3884,0,10508,0.925407309555262,10146,0,11355,0,0.3420519594892118,0.074592690444738,0.01796565389696169,0.5514751210920299,0,0.8935270805812418,N,,N,,0,0,0,0,0,0,0,0,0,0,0,NaN,0,Bronx,Rikers Island,,,
36005000200,2009,Y,Y,4257,0.063,4246,0.131,1232,3.74,206,1024,0,3001,0,4051,0.9516091143998121,4025,268.191,3988.809,556.226,0.7049565421658445,0.04839088560018793,0,0.24054498473103125,0,0.9455015268968757,N,127,N,419,0.97,0.41,0,0.67,0.030000000000000027,3.810000000000003,123.19,52.07,0,85.09,0.09842612168193564,0.10308441558441558,0.0009582591374158694,Bronx,Soundview-Castle Hill-Clason Point-Harding Park,103,341,
36005000400,2009,Y,Y,4625,0.059000000000000004,4593,0.11199999999999999,1354,3.51,86,790,85,3525,0,4539,0.9814054054054054,4315,272.875,4352.125,514.4159999999999,0.7621621621621621,0.018594594594594595,0.018378378378378378,0.17081081081081081,0,0.932972972972973,N,100,N,328,0.95,0.36,0,0.76,0.050000000000000044,5.000000000000004,95,36,0,76,0.07091891891891892,0.07385524372230429,0.0007545347538707633,Bronx,Soundview-Castle Hill-Clason Point-Harding Park,80,267,
36005000500,2009,N,Y,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,,N,,0,0,0,0,0,0,0,0,0,0,NaN,NaN,0,Bronx,park-cemetery-etc-Bronx,,,
36005001100,2009,Y,Y,572,0.24,572,0.642,283,3.43,8,206,0,336,0,564,0.986013986013986,542,137.28,434.72,367.224,0.5874125874125874,0.013986013986013986,0,0.36013986013986016,0,0.9475524475524476,N,16,N,37,1,0.63,0.06,0.38,0,0,16,10.08,0.96,6.08,0.06468531468531469,0.05653710247349823,0.00012072556061932213,Bronx,Mott Haven-Port Morris,15,36,
36005001500,2009,N,Y,21,0,21,0,21,,0,0,0,21,0,0,0,21,0,21,0,1,0,0,0,0,1,N,,N,,0,0,0,0,0,0,0,0,0,0,0,0,0,Bronx,Mott Haven-Port Morris,,,
36005001600,2009,Y,Y,5228,0.039,4984,0.22699999999999998,1960,2.98,249,1572,0,3284,0,4979,0.9523718439173681,4856,203.892,5024.108,1131.368,0.6281560826319816,0.04762815608263198,0,0.3006885998469778,0,0.9288446824789595,N,142,N,356,0.99,0.31,0.01,0.8,0.010000000000000009,1.4200000000000013,140.58,44.02,1.42,113.60000000000001,0.06809487375669472,0.07244897959183673,0.0010714393504964838,Bronx,Soundview-Castle Hill-Clason Point-Harding Park,127,327,
36005001700,2009,Y,Y,949,0.08199999999999999,925,0.29,369,3.66,224,235,0,490,0,725,0.7639620653319283,725,77.81799999999998,871.182,268.25,0.5163329820864068,0.23603793466807166,0,0.2476290832455216,0,0.7639620653319283,N,8,N,1,1,0.01,0.01,0.01,0,0,8,0.08,0.08,0.08,0.001053740779768177,0.02168021680216802,0.000060362780309661066,Bronx,Mott Haven-Port Morris,6,19,
36005002000,2009,Y,Y,8578,0.064,8413,0.354,3036,3.68,73,3259,38,5185,0,8505,0.9914898577757053,8444,548.992,8029.008,2978.2019999999998,0.6044532525064118,0.008510142224294708,0.004429937048262999,0.379925390533924,0,0.9843786430403357,N,116,N,425,0.98,0.43,0.01,0.63,0.020000000000000018,2.320000000000002,113.67999999999999,49.88,1.16,73.08,0.04954534856609932,0.03820816864295125,0.0008752603144900854,Bronx,Soundview-Castle Hill-Clason Point-Harding Park,102,380,
36005002300,2009,N,Y,4492,0.08900000000000001,4492,0.418,1821,3.59,41,1146,0,3305,0,4451,0.9908726625111309,4451,399.78800000000007,4092.212,1877.656,0.7357524487978628,0.0091273374888691,0,0.25512021371326804,0,0.9908726625111309,N,,N,,0,0,0,0,0,0,0,0,0,0,0,0,0,Bronx,Mott Haven-Port Morris,,,
