tract,year,nycha,hud,totPopulation,totPerPopUnder5,totPopPoverty,totPerPoverty,totHouseholds,totFamilies,totWhite,totBlack,totAsian,totHispanic,totYiddish,totNotWhite,totPerNotWhite,totBlackHispanic,totPopUnder5,totPopOver5,totPoverty,totPerHispanic,totPerWhite,totPerAsian,totPerBlack,totPerYiddish,totPerBlackHispanic,boro,neighborhood,sec8HouseholdsNYCHA,sec8PopulationNYCHA,sec8AvgIncomeNYCHA,hhNYCHA,sec8Households,popNYCHA,sec8Population,sec8PerHHWhite,sec8PerHHNotWhite,sec8PerHHBlack,sec8PerHHAsian,sec8PerHHHispanic,sec8TotHHWhite,sec8TotHHNotWhite,sec8TotHHBlack,sec8TotHHAsian,sec8TotHHHispanic,sec8PerPop,sec8PerHH,sec8PerVouchers
36005000100,2014,N,N,8430,0,0,0,0,0,585,4647,167,2943,0,7845,0.9306049822064056,7590,0,8430,0,0.3491103202846975,0.0693950177935943,0.01981020166073547,0.5512455516014235,0,0.900355871886121,Bronx,Rikers Island,,,,,,,,,,,,,,,,,,,,
36005000200,2014,Y,Y,5095,0.047,5073,0.192,1379,1166,115,1041,331,3505,0,4980,0.9774288518155054,4546,239.465,4855.535,974.0160000000001,0.6879293424926398,0.022571148184494603,0.06496565260058881,0.2043179587831207,0,0.8922473012757606,Bronx,Soundview-Castle Hill-Clason Point-Harding Park,89,313,,N,114,N,385,0.36,0.64,0.25,0,0.39,41.04,72.96000000000001,28.5,0,44.46,0.07556427870461237,0.0826686004350979,0.0009197479567879819
36005000400,2014,Y,Y,5572,0.051,5560,0.11599999999999999,1819,1462,160,1709,21,3533,0,5412,0.9712849964106246,5242,284.17199999999997,5287.828,644.9599999999999,0.6340631730078966,0.028715003589375447,0.0037688442211055275,0.3067121320890165,0,0.9407753050969131,Bronx,Soundview-Castle Hill-Clason Point-Harding Park,64,178,,N,78,N,225,0.38,0.62,0.23,0,0.38,29.64,48.36,17.94,0,29.64,0.04038047379755923,0.04288070368334249,0.0006293012335917771
36005001600,2014,Y,Y,5412,0.083,5158,0.191,1912,1316,75,1609,0,3694,0,5337,0.9861419068736141,5303,449.196,4962.804,985.178,0.6825572801182558,0.01385809312638581,0,0.29730229120473023,0,0.979859571322986,Bronx,Soundview-Castle Hill-Clason Point-Harding Park,113,306,,N,124,N,350,0.36,0.64,0.3,0.01,0.32,44.64,79.36,37.199999999999996,1.24,39.68,0.0646711012564671,0.06485355648535565,0.0010004276021202611
36005001900,2014,Y,Y,2569,0.069,2520,0.446,834,468,209,705,39,1509,0,2360,0.9186453873102375,2214,177.26100000000002,2391.739,1123.92,0.5873880887504865,0.08135461268976256,0.01518100428182172,0.2744258466329311,0,0.8618139353834177,Bronx,Mott Haven-Port Morris,27,62,,N,87,N,190,0.03,0.97,0.56,0.03,0.37,2.61,84.39,48.720000000000006,2.61,32.19,0.07395873880887505,0.10431654676258993,0.0007019129143908283
36005002000,2014,Y,Y,8959,0.064,8933,0.42100000000000004,2980,2198,114,3090,290,5264,0,8845,0.9872753655541913,8354,573.376,8385.624,3760.7930000000006,0.5875655765152361,0.012724634445808684,0.032369684116530864,0.3449045652416564,0,0.9324701417568925,Bronx,Soundview-Castle Hill-Clason Point-Harding Park,88,316,,N,109,N,396,0.31,0.69,0.38,0.01,0.3,33.79,75.21,41.42,1.09,32.699999999999996,0.0442013617591249,0.03657718120805369,0.0008794081341218424
36005002300,2014,N,N,4860,0.084,4827,0.564,1883,1113,20,1855,0,2985,0,4840,0.9958847736625515,4840,408.24,4451.76,2722.428,0.6141975308641975,0.00411522633744856,0,0.3816872427983539,0,0.9958847736625515,Bronx,Mott Haven-Port Morris,,,,,,,,,,,,,,,,,,,,
36005002400,2014,N,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bronx,park-cemetery-etc-Bronx,,,,,,,,,,,,,,,,,,,,
36005002500,2014,Y,Y,5143,0.08900000000000001,5130,0.581,1794,1209,59,826,234,4018,0,5084,0.9885280964417655,4844,457.72700000000003,4685.273,2980.5299999999997,0.781256076220105,0.011471903558234494,0.04549873614621816,0.16060664981528291,0,0.9418627260353879,Bronx,Mott Haven-Port Morris,48,122,,N,48,N,127,0.29,0.71,0.52,0,0.19,13.919999999999998,34.08,24.96,0,9.120000000000001,0.024693758506708147,0.026755852842809364,0.0003872622975949398
36005002701,2014,Y,Y,3172,0.077,3172,0.5589999999999999,1086,809,0,1006,0,2143,0,0,0,3149,244.244,2927.756,1773.148,0.6755989911727617,0,0,0.3171500630517024,0,0.992749054224464,Bronx,Mott Haven-Port Morris,22,53,,N,49,N,120,0.24,0.76,0.39,0,0.37,11.76,37.24,19.11,0,18.13,0.03783102143757881,0.04511970534069982,0.0003953302621281677
36005002702,2014,Y,Y,4683,0.065,4551,0.537,1333,1035,97,1188,0,3355,0,4586,0.979286781977365,4543,304.39500000000004,4378.605,2443.887,0.7164210975870169,0.020713218022635062,0,0.253683536194747,0,0.9701046337817638,Bronx,Mott Haven-Port Morris,459,1129,,N,517,N,1289,0.39,0.61,0.39,0,0.21,201.63,315.37,201.63,0,108.57,0.27525090753790304,0.3878469617404351,0.004171137663678831
36005002800,2014,Y,Y,5746,0.053,5742,0.086,2336,1431,11,4074,65,1438,0,5735,0.9980856247824573,5512,304.538,5441.4619999999995,493.81199999999995,0.25026105116602854,0.0019143752175426383,0.011312217194570135,0.709014966933519,0,0.9592760180995475,Bronx,Soundview-Castle Hill-Clason Point-Harding Park,41,77,,N,71,N,140,0.14,0.86,0.72,0,0.14,9.940000000000001,61.06,51.12,0,9.940000000000001,0.024364775495997214,0.030393835616438356,0.0005728254818591818
36005003100,2014,Y,Y,1538,0.07200000000000001,1538,0.182,509,388,7,431,48,1047,0,1531,0.9954486345903771,1478,110.73600000000002,1427.264,279.916,0.6807542262678804,0.004551365409622887,0.031209362808842653,0.28023407022106633,0,0.9609882964889467,Bronx,Mott Haven-Port Morris,39,72,,N,50,N,103,0.34,0.66,0.4,0,0.24,17,33,20,0,12,0.06697009102730819,0.09823182711198428,0.0004033982266613956
36005003300,2014,Y,Y,3852,0.08,3826,0.491,1166,894,13,1126,0,2702,0,3839,0.9966251298026999,3828,308.16,3543.84,1878.566,0.7014537902388369,0.0033748701973001036,0,0.29231568016614745,0,0.9937694704049844,Bronx,Mott Haven-Port Morris,420,1007,,N,433,N,1112,0.38,0.62,0.41,0,0.2,164.54,268.46,177.53,0,86.60000000000001,0.28868120456905505,0.3713550600343053,0.003493428642887686
36005003500,2014,Y,Y,3753,0.091,3744,0.41,1309,874,27,1005,0,2721,0,3726,0.9928057553956835,3726,341.52299999999997,3411.477,1535.04,0.7250199840127898,0.007194244604316547,0,0.26778577138289367,0,0.9928057553956835,Bronx,Mott Haven-Port Morris,102,289,,N,135,N,345,0.43,0.57,0.29,0,0.28,58.05,76.94999999999999,39.15,0,37.800000000000004,0.09192645883293366,0.10313216195569137,0.001089175211985768
36005003700,2014,Y,Y,199,0.09,199,0.49700000000000005,96,40,38,41,0,120,28,161,0.8090452261306532,161,17.91,181.09,98.903,0.6030150753768844,0.19095477386934673,0,0.20603015075376885,0.15461925009663702,0.8090452261306532,Bronx,Mott Haven-Port Morris,16,35,,N,20,N,50,0.4,0.6,0.3,0,0.3,8,12,6,0,6,0.25125628140703515,0.20833333333333334,0.00016135929066455823
